track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_name,playlist_id,album_type,album_id,artist_id,explicit,track_popularity,market_id,num_avail_markets,num_artists,playlist_rank,artist_name,followers,genres,artist_popularity,cluster,artist_genre
2cKQU9oh4rwC6uyEdWvgYA,0.35000000000000003,0.6930000000000001,4.0,-6.3870000000000005,0.0,0.265,0.0316,2.18e-06,0.0888,0.20700000000000002,80.192,164723.0,4.0,Release Me,37i9dQZEVXbJV3H3OfCN1z,album,3BzDtldlIXJJGh9Qc7tbLK,2gzWmhOZhDN6gXL49JW9qj,True,53,south_africa,183,1,32,Nasty C,1641364,"['south african hip hop', 'south african trap']",61,3,Hip Hop
3tP8NGuXar24LPhVAk0ME8,0.433,0.388,1.0,-9.582,0.0,0.0629,0.307,0.0,0.124,0.0824,139.886,196030.0,4.0,Kill The Noise (feat. Anica & Maglera Doe Boy),37i9dQZEVXbJV3H3OfCN1z,album,3BzDtldlIXJJGh9Qc7tbLK,2gzWmhOZhDN6gXL49JW9qj,True,51,south_africa,183,3,36,Nasty C,1641364,"['south african hip hop', 'south african trap']",61,4,Hip Hop
6wCbvwag0wNRBbhZuXwVpk,0.785,0.531,8.0,-6.571,1.0,0.183,0.36,1.83e-06,0.114,0.5740000000000001,151.084,228936.0,4.0,Know Yourself,37i9dQZEVXbJV3H3OfCN1z,album,3BzDtldlIXJJGh9Qc7tbLK,2gzWmhOZhDN6gXL49JW9qj,True,51,south_africa,183,1,50,Nasty C,1641364,"['south african hip hop', 'south african trap']",61,2,Hip Hop
1fIXzuAcGq0mZqGkAy5Zs9,0.8150000000000001,0.773,10.0,-5.948,0.0,0.128,0.20600000000000002,1.25e-06,0.0766,0.845,106.007,189057.0,4.0,This Time (feat. Ami Faku),37i9dQZEVXbJV3H3OfCN1z,album,3BzDtldlIXJJGh9Qc7tbLK,2gzWmhOZhDN6gXL49JW9qj,True,52,south_africa,183,2,49,Nasty C,1641364,"['south african hip hop', 'south african trap']",61,3,Hip Hop
4GVQOvxTqXPLJ1rHvP0SwZ,0.715,0.59,1.0,-6.507,1.0,0.342,0.184,0.0,0.125,0.121,105.891,181108.0,4.0,No More,37i9dQZEVXbJV3H3OfCN1z,album,3BzDtldlIXJJGh9Qc7tbLK,2gzWmhOZhDN6gXL49JW9qj,True,51,south_africa,183,1,35,Nasty C,1641364,"['south african hip hop', 'south african trap']",61,1,Hip Hop
4Vm5J277k6HH6CNZEZXAE9,0.779,0.712,1.0,-5.2620000000000005,0.0,0.0388,0.0247,0.0,0.252,0.543,104.961,201185.0,4.0,لفينا الدنيا,37i9dQZEVXbMy2EcFg5F9m,single,6hBfYe9PE9Wp1CAs9C2nRq,3gCqbhXmiSto3R8U9YZcZM,False,63,egypt,184,2,7,Reda El Bahrawy,695772,['shaabi'],49,7,Pop
4WXX611x1aCtwcqVJgA3xb,0.762,0.805,1.0,-6.63,1.0,0.386,0.23700000000000002,0.0,0.11,0.271,124.977,155520.0,4.0,Sunset,37i9dQZEVXbLKI6MPixefZ,album,3zi1D9yDyynoGCl4vLVWOK,3LujD0iQ9jRbSCMA39CGfO,True,59,czech_republic,184,3,34,Separ,260196,"['czsk hip hop', 'slovak hip hop']",59,1,Hip Hop
4WXX611x1aCtwcqVJgA3xb,0.762,0.805,1.0,-6.63,1.0,0.386,0.23700000000000002,0.0,0.11,0.271,124.977,155520.0,4.0,Sunset,37i9dQZEVXbMwW10JmAnzE,album,3zi1D9yDyynoGCl4vLVWOK,3LujD0iQ9jRbSCMA39CGfO,True,59,slovakia,184,3,2,Separ,260196,"['czsk hip hop', 'slovak hip hop']",59,1,Hip Hop
7Hv3RbeEI9ynt6S7dIm3iT,0.796,0.6970000000000001,9.0,-7.524,1.0,0.0631,0.585,0.0,0.343,0.744,135.071,119111.0,4.0,Intro,37i9dQZEVXbMwW10JmAnzE,album,3zi1D9yDyynoGCl4vLVWOK,3LujD0iQ9jRbSCMA39CGfO,True,52,slovakia,184,1,40,Separ,260196,"['czsk hip hop', 'slovak hip hop']",59,2,Hip Hop
1qHZrVjQrXxpb0lTdOmM7K,0.447,0.602,2.0,-6.872,0.0,0.405,0.625,0.0,0.1,0.588,73.257,188219.0,4.0,Reťaze,37i9dQZEVXbMwW10JmAnzE,album,3zi1D9yDyynoGCl4vLVWOK,3LujD0iQ9jRbSCMA39CGfO,True,52,slovakia,184,1,23,Separ,260196,"['czsk hip hop', 'slovak hip hop']",59,3,Hip Hop
