track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_name,playlist_id,album_type,album_id,artist_id,explicit,track_popularity,market_id,num_avail_markets,num_artists,playlist_rank,artist_name,followers,artist_popularity,PC1,PC2,PC3,PC4,PC5,PC6,Cluster
78ZkwNG2wXWlwTasHCbcGf,0.878,0.309,6.0,-9.548,1.0,0.47500000000000003,0.28300000000000003,0.0,0.101,0.637,76.008,152368.0,4.0,Crazy Crazy,37i9dQZEVXbJV3H3OfCN1z,album,3BzDtldlIXJJGh9Qc7tbLK,2gzWmhOZhDN6gXL49JW9qj,True,52,south_africa,183,1,28,Nasty C,1641364,61,0.550709646477328,-1.1218340803951001,-3.2935759077722206,1.0969076408437748,-1.2052088304613975,4.3709055383696835,0
4i8Z8v8PoeUb6IALQAB2ut,0.765,0.448,10.0,-11.166,0.0,0.332,0.296,4.08e-06,0.23,0.39,122.965,212683.0,4.0,Prosper In Peace (with Benny The Butcher),37i9dQZEVXbJV3H3OfCN1z,album,3BzDtldlIXJJGh9Qc7tbLK,2gzWmhOZhDN6gXL49JW9qj,True,54,south_africa,183,2,21,Nasty C,1641364,61,2.6641900320765575,-1.229306092656331,-0.10894594049696918,-0.17599513203005496,-0.44590707313466627,-0.12643981504218804,2
768qVMFHdL3geXl0jQa8Nn,0.483,0.492,9.0,-8.54,1.0,0.161,0.20800000000000002,0.0,0.28600000000000003,0.198,134.01,188773.0,4.0,She's Gone & The End,37i9dQZEVXbJV3H3OfCN1z,album,3BzDtldlIXJJGh9Qc7tbLK,2gzWmhOZhDN6gXL49JW9qj,True,55,south_africa,183,1,19,Nasty C,1641364,61,0.21077510137695282,1.4505082986158302,0.11743959054643716,-0.545658045720442,0.06321020987402079,-0.67818155353936,1
2c1S90fMgtMJbQYHfJJvNw,0.488,0.668,8.0,-7.43,1.0,0.23600000000000002,0.109,0.0,0.106,0.385,147.987,181417.0,4.0,Broken Marriages,37i9dQZEVXbJV3H3OfCN1z,album,3BzDtldlIXJJGh9Qc7tbLK,2gzWmhOZhDN6gXL49JW9qj,True,52,south_africa,183,1,37,Nasty C,1641364,61,-2.258839729101015,-1.5248733292632826,0.6353993299729843,-1.2137215315228267,1.375378356049959,-0.14462758041747742,0
5iT4MuQFRS3WCpWjORIpiN,0.493,0.5660000000000001,0.0,-6.945,0.0,0.17,0.28700000000000003,7.12e-05,0.14100000000000001,0.41000000000000003,95.212,180157.0,4.0,Endless,37i9dQZEVXbJV3H3OfCN1z,album,3BzDtldlIXJJGh9Qc7tbLK,2gzWmhOZhDN6gXL49JW9qj,False,55,south_africa,183,1,14,Nasty C,1641364,61,-1.5631203554300797,0.23616524690704016,-1.6836651185531586,0.39307039147675876,-0.7925506426914052,0.7398759019935995,0
1JMNAsjUFWe24TrGyVdhXa,0.638,0.806,1.0,-7.313,1.0,0.368,0.0030700000000000002,0.0,0.263,0.714,76.171,150587.0,4.0,Fuck That,37i9dQZEVXbJV3H3OfCN1z,album,3BzDtldlIXJJGh9Qc7tbLK,2gzWmhOZhDN6gXL49JW9qj,True,52,south_africa,183,1,40,Nasty C,1641364,61,2.661465845339699,-0.20368020675839102,0.8598435678955875,0.642044945022772,2.3450761714768484,-0.5811605821175913,2
2cKQU9oh4rwC6uyEdWvgYA,0.35000000000000003,0.6930000000000001,4.0,-6.3870000000000005,0.0,0.265,0.0316,2.18e-06,0.0888,0.20700000000000002,80.192,164723.0,4.0,Release Me,37i9dQZEVXbJV3H3OfCN1z,album,3BzDtldlIXJJGh9Qc7tbLK,2gzWmhOZhDN6gXL49JW9qj,True,53,south_africa,183,1,32,Nasty C,1641364,61,0.5740447012043423,0.3950083655710601,-0.19975582137580342,-0.03904335161046494,-1.306006639385434,1.0100685712862136,1
3tP8NGuXar24LPhVAk0ME8,0.433,0.388,1.0,-9.582,0.0,0.0629,0.307,0.0,0.124,0.0824,139.886,196030.0,4.0,Kill The Noise (feat. Anica & Maglera Doe Boy),37i9dQZEVXbJV3H3OfCN1z,album,3BzDtldlIXJJGh9Qc7tbLK,2gzWmhOZhDN6gXL49JW9qj,True,51,south_africa,183,3,36,Nasty C,1641364,61,2.7041368522843072,-0.46312722389409033,-0.9583140220150298,0.22402315391082128,-0.41823927593924876,0.45212459740012484,2
6wCbvwag0wNRBbhZuXwVpk,0.785,0.531,8.0,-6.571,1.0,0.183,0.36,1.83e-06,0.114,0.5740000000000001,151.084,228936.0,4.0,Know Yourself,37i9dQZEVXbJV3H3OfCN1z,album,3BzDtldlIXJJGh9Qc7tbLK,2gzWmhOZhDN6gXL49JW9qj,True,51,south_africa,183,1,50,Nasty C,1641364,61,-1.0768249725028594,1.2021382236586255,-1.1518250464483217,-0.17351937110591306,0.035976957462327756,-1.544569636851479,0
1fIXzuAcGq0mZqGkAy5Zs9,0.8150000000000001,0.773,10.0,-5.948,0.0,0.128,0.20600000000000002,1.25e-06,0.0766,0.845,106.007,189057.0,4.0,This Time (feat. Ami Faku),37i9dQZEVXbJV3H3OfCN1z,album,3BzDtldlIXJJGh9Qc7tbLK,2gzWmhOZhDN6gXL49JW9qj,True,52,south_africa,183,2,49,Nasty C,1641364,61,-0.5059192737028977,2.4073364897279985,3.2805906015634627,0.1731790179814586,-1.1669981331862893,2.5804808976055233,1
